Sample Name,COSMIC identifier,MSI
TGBC24TKB,910695,MSS/MSI-L
HUTU-80,907073,MSS/MSI-L
C2BBe1,910700,MSS/MSI-L
CaR-1,924108,MSS/MSI-L
CCK-81,1240123,MSI-H
CL-11,1290769,MSS/MSI-L
CL-40,1240124,MSS/MSI-L
COLO-205,905961,MSS/MSI-L
COLO-320-HSR,910569,MSS/MSI-L
COLO-678,910689,MSS/MSI-L
CW-2,910554,MSI-H
GP5d,907291,MSI-H
HCC2998,905971,MSS/MSI-L
HCC-56,1290907,MSS/MSI-L
HCT-116,905936,MSI-H
HCT-15,905937,MSI-H
HT-115,907289,MSS/MSI-L
HT-29,905939,MSS/MSI-L
HT55,907287,MSS/MSI-L
KM12,905989,MSI-H
LoVo,907790,MSI-H
LS-1034,917486,MSS/MSI-L
LS-123,907792,MSS/MSI-L
LS-180,998189,MSI-H
LS-411N,907794,MSI-H
LS-513,907795,MSS/MSI-L
MDST8,1240173,MSS/MSI-L
NCI-H630,908482,MSI-H
NCI-H716,908458,MSS/MSI-L
NCI-H747,908457,MSS/MSI-L
RCM-1,909263,MSS/MSI-L
RKO,909698,MSI-H
SK-CO-1,909718,MSS/MSI-L
SNU-1040,1659823,MSS/MSI-L
SNU-175,1659928,MSI-H
SNU-407,1660034,MSI-H
SNU-61,1660035,MSS/MSI-L
SNU-81,1660036,MSS/MSI-L
SNU-C1,910905,MSS/MSI-L
SNU-C2B,909740,MSI-H
SNU-C5,1674021,MSI-H
SW1116,909746,MSS/MSI-L
SW1417,909747,MSS/MSI-L
SW1463,909748,MSS/MSI-L
SW48,909751,MSI-H
SW837,909755,MSS/MSI-L
SW948,909757,MSS/MSI-L
T84,909761,MSS/MSI-L
C3A,910850,MSS/MSI-L
Hep 3B2_1-7,1240147,MSS/MSI-L
HLE,907057,MSS/MSI-L
huH-1,1298146,MSS/MSI-L
HuH-7,907071,MSS/MSI-L
JHH-1,1298151,MSS/MSI-L
JHH-6,1240159,MSS/MSI-L
JHH-7,1240160,MSS/MSI-L
SK-HEP-1,909719,MSS/MSI-L
SNU-182,1240216,MSS/MSI-L
SNU-387,909736,MSS/MSI-L
SNU-398,1240217,MSS/MSI-L
SNU-423,909737,MSS/MSI-L
SNU-449,909738,MSS/MSI-L
SNU-475,909739,MSS/MSI-L
23132-87,910924,MSI-H
AGS,906790,MSS/MSI-L
ECC10,906848,MSS/MSI-L
ECC12,906849,MSS/MSI-L
FU97,1290806,MSS/MSI-L
GCIY,906869,MSS/MSI-L
GT3TKB,907041,MSS/MSI-L
HGC-27,907055,MSS/MSI-L
Hs746T,1240151,MSS/MSI-L
HSC-39,1322224,MSS/MSI-L
IM-95,1240155,MSS/MSI-L
KATOIII,907276,MSS/MSI-L
MKN1,908138,MSS/MSI-L
MKN28,908139,MSS/MSI-L
MKN45,925340,MSS/MSI-L
MKN7,924250,MSS/MSI-L
NCI-N87,908461,MSS/MSI-L
NCI-SNU-1,908444,MSI-H
NCI-SNU-16,908446,MSS/MSI-L
NCI-SNU-5,908445,MSS/MSI-L
NUGC-3,908455,MSI-H
NUGC-4,1298357,MSS/MSI-L
OCUM-1,1298358,MSS/MSI-L
RERF-GC-1B,1240209,MSS/MSI-L
RF-48,909697,MSS/MSI-L
SCH,909711,MSS/MSI-L
SK-GT-2,1503364,MSS/MSI-L
TGBC11TKB,909770,MSI-H
SW13,909744,MSS/MSI-L
769-P,910922,MSS/MSI-L
786-0,905947,MSS/MSI-L
A498,905948,MSS/MSI-L
A704,910920,MSS/MSI-L
ACHN,905950,MSS/MSI-L
BB65-RCC,753533,MSS/MSI-L
BFTC-909,910698,MSS/MSI-L
CAKI-1,905963,MSS/MSI-L
CAL-54,910952,MSS/MSI-L
G-401,907299,MSS/MSI-L
HA7-RCC,753558,MSS/MSI-L
KMRC-1,1298168,MSS/MSI-L
KMRC-20,1298169,MSS/MSI-L
LB1047-RCC,753577,MSI-H
LB2241-RCC,753578,MSS/MSI-L
LB996-RCC,753585,MSS/MSI-L
NCC010,1509073,MSS/MSI-L
NCC021,1509074,MSS/MSI-L
OS-RC-2,909250,MSS/MSI-L
RCC10RGB,909974,MSS/MSI-L
RCC-AB,1524418,MSS/MSI-L
RCC-ER,1524417,MSS/MSI-L
RCC-FG2,1524414,MSS/MSI-L
RCC-JW,1524416,MSS/MSI-L
RCC-MF,1524419,MSS/MSI-L
RXF393,905978,MSS/MSI-L
SN12C,905979,MSS/MSI-L
TK10,905980,MSS/MSI-L
U031,905981,MSS/MSI-L
VMRC-RCZ,909781,MSS/MSI-L
201T,1287381,MSS/MSI-L
A549,905949,MSS/MSI-L
ABC-1,906791,MSS/MSI-L
Calu-3,687777,MSS/MSI-L
Calu-6,724859,MSS/MSI-L
COR-L105,906805,MSS/MSI-L
EKVX,905970,MSS/MSI-L
EMC-BAC-1,1503369,MSS/MSI-L
EMC-BAC-2,1503370,MSS/MSI-L
H3255,1247873,MSS/MSI-L
HCC-44,1240145,MSS/MSI-L
HCC-78,1290908,MSS/MSI-L
HCC-827,1240146,MSS/MSI-L
LC-2-ad,907786,MSS/MSI-L
LXF-289,753592,MSS/MSI-L
NCI-H1355,724866,MSS/MSI-L
NCI-H1395,684681,MSS/MSI-L
NCI-H1435,1298347,MSS/MSI-L
NCI-H1563,753600,MSS/MSI-L
NCI-H1568,1298348,MSS/MSI-L
NCI-H1573,908472,MSS/MSI-L
NCI-H1623,687798,MSS/MSI-L
NCI-H1648,687799,MSS/MSI-L
NCI-H1650,687800,MSS/MSI-L
NCI-H1651,910900,MSS/MSI-L
NCI-H1666,908473,MSS/MSI-L
NCI-H1693,687802,MSS/MSI-L
NCI-H1703,908474,MSS/MSI-L
NCI-H1734,722058,MSS/MSI-L
NCI-H1755,908475,MSS/MSI-L
NCI-H1781,1298350,MSS/MSI-L
NCI-H1792,724868,MSS/MSI-L
NCI-H1793,908463,MSS/MSI-L
NCI-H1838,687807,MSS/MSI-L
NCI-H1944,1240185,MSS/MSI-L
NCI-H1975,924244,MSS/MSI-L
NCI-H1993,908476,MSS/MSI-L
NCI-H2009,724873,MSS/MSI-L
NCI-H2023,1240187,MSS/MSI-L
NCI-H2030,722045,MSS/MSI-L
NCI-H2085,687812,MSS/MSI-L
NCI-H2087,724834,MSS/MSI-L
NCI-H2122,722046,MSS/MSI-L
NCI-H2228,687816,MSS/MSI-L
NCI-H2291,724874,MSS/MSI-L
NCI-H23,905942,MSS/MSI-L
NCI-H2342,687819,MSS/MSI-L
NCI-H2347,687820,MSS/MSI-L
NCI-H2405,687821,MSS/MSI-L
NCI-H292,753604,MSS/MSI-L
NCI-H3122,1240190,MSS/MSI-L
NCI-H322M,905967,MSS/MSI-L
NCI-H358,908465,MSS/MSI-L
NCI-H441,908460,MSS/MSI-L
NCI-H522,905944,MSS/MSI-L
NCI-H596,908459,MSS/MSI-L
NCI-H650,722066,MSS/MSI-L
NCI-H838,910399,MSS/MSI-L
PC-14,753608,MSS/MSI-L
RERF-LC-KJ,1298537,MSS/MSI-L
RERF-LC-MS,910931,MSS/MSI-L
SK-LU-1,909721,MSS/MSI-L
SW1573,724878,MSS/MSI-L
NCI-H720,687600,MSS/MSI-L
NCI-H727,724855,MSS/MSI-L
NCI-H835,753607,MSS/MSI-L
UMC-11,909779,MSS/MSI-L
COR-L23,687780,MSS/MSI-L
HOP-92,905973,MSS/MSI-L
IA-LM,910779,MSS/MSI-L
LCLC-103H,753586,MSS/MSI-L
LCLC-97TM1,946361,MSS/MSI-L
LU-65,724863,MSS/MSI-L
LU-99A,907796,MSS/MSI-L
NCI-H1155,908467,MSS/MSI-L
NCI-H1299,724831,MSS/MSI-L
NCI-H1581,908471,MSS/MSI-L
NCI-H1915,1240184,MSS/MSI-L
NCI-H661,687829,MSS/MSI-L
NCI-H810,925341,MSS/MSI-L
A427,910851,MSS/MSI-L
BEN,753534,MSS/MSI-L
CAL-12T,753540,MSS/MSI-L
ChaGo-K-1,687596,MSS/MSI-L
HCC-366,1240144,MSS/MSI-L
NCI-H1770,687804,MSS/MSI-L
NCI-H2110,1298351,MSS/MSI-L
NCI-H2135,1298352,MSS/MSI-L
NCI-H2172,1298353,MSS/MSI-L
NCI-H2444,1298356,MSS/MSI-L
NCI-H647,1240191,MSS/MSI-L
EBC-1,753554,MSS/MSI-L
EPLC-272H,753556,MSS/MSI-L
HARA,1240142,MSS/MSI-L
HCC-15,1240143,MSS/MSI-L
KNS-62,753569,MSS/MSI-L
